Emp_ID;MMM.YY;Age;Salary;LastWorkingDate;Designation;Total.Business.Value;Quarterly.Rating;Gender;City;Education_Level;Dateofjoining;Joining.Designation
13;01.01.2017;30;119227,00 USD;;4;151110;1;Male;C19;Master;28.05.2012;1
13;01.02.2017;30;119227,00 USD;;4;200000;1;Male;C19;Master;28.05.2012;1
13;01.03.2017;30;119227,00 USD;;4;1593590;1;Male;C19;Master;28.05.2012;1
13;01.04.2017;30;119227,00 USD;;4;0;1;Male;C19;Master;28.05.2012;1
13;01.05.2017;30;119227,00 USD;;4;400000;1;Male;C19;Master;28.05.2012;1
13;01.06.2017;30;119227,00 USD;;4;258610;1;Male;C19;Master;28.05.2012;1
13;01.07.2017;30;119227,00 USD;;4;150000;1;Male;C19;Master;28.05.2012;1
13;01.08.2017;30;119227,00 USD;;4;500000;1;Male;C19;Master;28.05.2012;1
13;01.09.2017;30;119227,00 USD;;4;200000;1;Male;C19;Master;28.05.2012;1
13;01.10.2017;30;119227,00 USD;;4;350000;1;Male;C19;Master;28.05.2012;1
13;01.11.2017;31;119227,00 USD;25.11.2017;4;0;1;Male;C19;Master;28.05.2012;1
14;01.10.2017;39;19734,00 USD;;3;0;1;Female;C26;Colege;16.10.2017;3
14;01.11.2017;39;19734,00 USD;;3;0;1;Female;C26;Colege;16.10.2017;3
14;01.12.2017;39;19734,00 USD;;3;0;1;Female;C26;Colege;16.10.2017;3
16;01.01.2016;30;52963,00 USD;;2;346800;1;Female;C23;Colege;30.11.2015;2
16;01.02.2016;30;52963,00 USD;22.02.2016;2;0;1;Female;C23;Colege;30.11.2015;2
17;01.01.2016;42;51099,00 USD;;1;100000;2;Male;C20;Master;06.03.2015;1
17;01.02.2016;42;51099,00 USD;;1;0;2;Male;C20;Master;06.03.2015;1
17;01.03.2016;42;51099,00 USD;;1;674990;2;Male;C20;Master;06.03.2015;1
17;01.04.2016;42;51099,00 USD;;1;242650;1;Male;C20;Master;06.03.2015;1
17;01.05.2016;42;51099,00 USD;;1;0;1;Male;C20;Master;06.03.2015;1
17;01.06.2016;42;51099,00 USD;;1;0;1;Male;C20;Master;06.03.2015;1
17;01.07.2016;43;51099,00 USD;20.07.2016;1;0;1;Male;C20;Master;06.03.2015;1
18;01.01.2016;27;31631,00 USD;;1;0;1;Female;C17;Bachelor;09.01.2016;1
18;01.02.2016;27;31631,00 USD;;1;0;1;Female;C17;Bachelor;09.01.2016;1
18;01.03.2016;27;31631,00 USD;;1;0;1;Female;C17;Bachelor;09.01.2016;1
18;01.04.2016;27;31631,00 USD;;1;0;1;Female;C17;Bachelor;09.01.2016;1
18;01.05.2016;27;31631,00 USD;30.04.2016;1;0;1;Female;C17;Bachelor;09.01.2016;1
20;01.10.2016;26;40342,00 USD;;3;0;1;Female;C19;Colege;25.10.2016;3
20;01.11.2016;26;40342,00 USD;;3;0;1;Female;C19;Colege;25.10.2016;3
20;01.12.2016;26;40342,00 USD;;3;0;1;Female;C19;Colege;25.10.2016;3
20;01.01.2017;26;40342,00 USD;;3;0;1;Female;C19;Colege;25.10.2016;3
20;01.02.2017;26;40342,00 USD;;3;0;1;Female;C19;Colege;25.10.2016;3
20;01.03.2017;26;40342,00 USD;01.03.2017;3;0;1;Female;C19;Colege;25.10.2016;3
21;01.01.2016;33;22755,00 USD;;1;948560;4;Female;C29;Bachelor;12.05.2015;1
21;01.02.2016;33;22755,00 USD;;1;551740;4;Female;C29;Bachelor;12.05.2015;1
21;01.03.2016;33;22755,00 USD;;1;3295370;4;Female;C29;Bachelor;12.05.2015;1
21;01.04.2016;33;22755,00 USD;;1;0;2;Female;C29;Bachelor;12.05.2015;1
21;01.05.2016;33;22755,00 USD;;1;116350;2;Female;C29;Bachelor;12.05.2015;1
21;01.06.2016;33;22755,00 USD;;1;533260;2;Female;C29;Bachelor;12.05.2015;1
21;01.07.2016;33;22755,00 USD;;1;150450;2;Female;C29;Bachelor;12.05.2015;1
21;01.08.2016;33;22755,00 USD;;1;0;2;Female;C29;Bachelor;12.05.2015;1
21;01.09.2016;33;22755,00 USD;;1;520980;2;Female;C29;Bachelor;12.05.2015;1
21;01.10.2016;33;22755,00 USD;;1;150600;2;Female;C29;Bachelor;12.05.2015;1
21;01.11.2016;34;22755,00 USD;;1;0;2;Female;C29;Bachelor;12.05.2015;1
21;01.12.2016;34;22755,00 USD;;1;263690;2;Female;C29;Bachelor;12.05.2015;1
21;01.01.2017;34;22755,00 USD;;1;150170;1;Female;C29;Bachelor;12.05.2015;1
21;01.02.2017;34;22755,00 USD;17.02.2017;1;281380;1;Female;C29;Bachelor;12.05.2015;1
22;01.01.2016;40;31224,00 USD;;1;216170;2;Male;C10;Master;25.05.2015;1
22;01.02.2016;40;31224,00 USD;;1;404600;2;Male;C10;Master;25.05.2015;1
22;01.03.2016;40;31224,00 USD;;1;819960;2;Male;C10;Master;25.05.2015;1
22;01.04.2016;40;31224,00 USD;;1;601680;4;Male;C10;Master;25.05.2015;1
22;01.05.2016;40;31224,00 USD;;1;635700;4;Male;C10;Master;25.05.2015;1
22;01.06.2016;40;31224,00 USD;;1;121590;4;Male;C10;Master;25.05.2015;1
22;01.07.2016;40;31224,00 USD;;1;653680;4;Male;C10;Master;25.05.2015;1
22;01.08.2016;40;31224,00 USD;;1;1120560;4;Male;C10;Master;25.05.2015;1
22;01.09.2016;40;31224,00 USD;;1;696920;4;Male;C10;Master;25.05.2015;1
22;01.10.2016;40;31224,00 USD;;1;200000;3;Male;C10;Master;25.05.2015;1
22;01.11.2016;41;31224,00 USD;;1;306410;3;Male;C10;Master;25.05.2015;1
22;01.12.2016;41;31224,00 USD;;1;499480;3;Male;C10;Master;25.05.2015;1
22;01.01.2017;41;31224,00 USD;;1;500510;2;Male;C10;Master;25.05.2015;1
22;01.02.2017;41;31224,00 USD;;1;658430;2;Male;C10;Master;25.05.2015;1
22;01.03.2017;41;31224,00 USD;;1;103800;2;Male;C10;Master;25.05.2015;1
22;01.04.2017;41;31224,00 USD;26.04.2017;1;0;1;Male;C10;Master;25.05.2015;1
24;01.01.2016;30;76308,00 USD;;2;106460;2;Male;C24;Master;25.05.2015;1
24;01.02.2016;31;76308,00 USD;;2;401310;2;Male;C24;Master;25.05.2015;1
24;01.03.2016;31;76308,00 USD;;2;1103240;2;Male;C24;Master;25.05.2015;1
24;01.04.2016;31;76308,00 USD;;2;312720;2;Male;C24;Master;25.05.2015;1
24;01.05.2016;31;76308,00 USD;;2;128730;2;Male;C24;Master;25.05.2015;1
24;01.06.2016;31;76308,00 USD;;2;97220;2;Male;C24;Master;25.05.2015;1
24;01.07.2016;31;76308,00 USD;;2;203240;3;Male;C24;Master;25.05.2015;1
24;01.08.2016;31;76308,00 USD;;2;639720;3;Male;C24;Master;25.05.2015;1
24;01.09.2016;31;76308,00 USD;;2;765920;3;Male;C24;Master;25.05.2015;1
24;01.10.2016;31;76308,00 USD;27.10.2016;2;343160;2;Male;C24;Master;25.05.2015;1
25;01.01.2016;29;102077,00 USD;;3;2552300;3;Male;C24;Bachelor;30.10.2014;1
25;01.02.2016;29;102077,00 USD;;3;2143680;3;Male;C24;Bachelor;30.10.2014;1
25;01.03.2016;29;102077,00 USD;;3;2925260;3;Male;C24;Bachelor;30.10.2014;1
25;01.04.2016;29;102077,00 USD;;3;1030790;4;Male;C24;Bachelor;30.10.2014;1
25;01.05.2016;29;102077,00 USD;;3;1833580;4;Male;C24;Bachelor;30.10.2014;1
25;01.06.2016;29;102077,00 USD;;3;999610;4;Male;C24;Bachelor;30.10.2014;1
25;01.07.2016;29;102077,00 USD;;3;1046670;4;Male;C24;Bachelor;30.10.2014;1
25;01.08.2016;29;102077,00 USD;;3;677050;4;Male;C24;Bachelor;30.10.2014;1
25;01.09.2016;29;102077,00 USD;;3;1934570;4;Male;C24;Bachelor;30.10.2014;1
25;01.10.2016;29;102077,00 USD;;3;1297810;4;Male;C24;Bachelor;30.10.2014;1
25;01.11.2016;30;102077,00 USD;;3;1474610;4;Male;C24;Bachelor;30.10.2014;1
25;01.12.2016;30;102077,00 USD;;3;574040;4;Male;C24;Bachelor;30.10.2014;1
25;01.01.2017;30;102077,00 USD;;3;2109420;4;Male;C24;Bachelor;30.10.2014;1
25;01.02.2017;30;102077,00 USD;;3;2973000;4;Male;C24;Bachelor;30.10.2014;1
25;01.03.2017;30;102077,00 USD;;3;3053510;4;Male;C24;Bachelor;30.10.2014;1
25;01.04.2017;30;102077,00 USD;;3;-414250;3;Male;C24;Bachelor;30.10.2014;1
25;01.05.2017;30;102077,00 USD;;3;350000;3;Male;C24;Bachelor;30.10.2014;1
25;01.06.2017;30;102077,00 USD;;3;1219340;3;Male;C24;Bachelor;30.10.2014;1
25;01.07.2017;30;102077,00 USD;;3;650000;4;Male;C24;Bachelor;30.10.2014;1
25;01.08.2017;30;102077,00 USD;;3;1512060;4;Male;C24;Bachelor;30.10.2014;1
25;01.09.2017;30;102077,00 USD;;3;1368060;4;Male;C24;Bachelor;30.10.2014;1
25;01.10.2017;30;102077,00 USD;;3;1346140;4;Male;C24;Bachelor;30.10.2014;1
25;01.11.2017;31;102077,00 USD;;3;1680680;4;Male;C24;Bachelor;30.10.2014;1
25;01.12.2017;31;102077,00 USD;;3;2013180;4;Male;C24;Bachelor;30.10.2014;1
26;01.01.2016;41;121529,00 USD;;3;243110;4;Male;C14;Master;07.05.2015;1
26;01.02.2016;41;121529,00 USD;;3;646330;4;Male;C14;Master;07.05.2015;1
26;01.03.2016;41;121529,00 USD;;3;17651940;4;Male;C14;Master;07.05.2015;1
26;01.04.2016;41;121529,00 USD;;3;242510;4;Male;C14;Master;07.05.2015;1
26;01.05.2016;41;121529,00 USD;;3;1098080;4;Male;C14;Master;07.05.2015;1
26;01.06.2016;41;121529,00 USD;;3;1212720;4;Male;C14;Master;07.05.2015;1
26;01.07.2016;41;121529,00 USD;;3;2695910;4;Male;C14;Master;07.05.2015;1
26;01.08.2016;41;121529,00 USD;;3;494710;4;Male;C14;Master;07.05.2015;1
26;01.09.2016;42;121529,00 USD;;3;986540;4;Male;C14;Master;07.05.2015;1
26;01.10.2016;42;121529,00 USD;;3;9950710;4;Male;C14;Master;07.05.2015;1
26;01.11.2016;42;121529,00 USD;;3;13097320;4;Male;C14;Master;07.05.2015;1
26;01.12.2016;42;121529,00 USD;;3;1086370;4;Male;C14;Master;07.05.2015;1
26;01.01.2017;42;121529,00 USD;;3;732410;2;Male;C14;Master;07.05.2015;1
26;01.02.2017;42;121529,00 USD;;3;1511840;2;Male;C14;Master;07.05.2015;1
26;01.03.2017;42;132577,00 USD;;4;9226690;4;Male;C14;Master;07.05.2015;1
26;01.04.2017;42;132577,00 USD;;4;1940050;2;Male;C14;Master;07.05.2015;1
26;01.05.2017;42;132577,00 USD;;4;970030;2;Male;C14;Master;07.05.2015;1
26;01.06.2017;42;132577,00 USD;;4;0;2;Male;C14;Master;07.05.2015;1
26;01.07.2017;42;132577,00 USD;;4;153590;2;Male;C14;Master;07.05.2015;1
26;01.08.2017;42;132577,00 USD;;4;1710410;2;Male;C14;Master;07.05.2015;1
26;01.09.2017;43;132577,00 USD;;4;440550;2;Male;C14;Master;07.05.2015;1
26;01.10.2017;43;132577,00 USD;;4;744590;2;Male;C14;Master;07.05.2015;1
26;01.11.2017;43;132577,00 USD;;4;1578270;2;Male;C14;Master;07.05.2015;1
26;01.12.2017;43;132577,00 USD;;4;1453220;2;Male;C14;Master;07.05.2015;1
29;01.01.2016;30;30312,00 USD;;1;231840;2;Male;C13;Master;20.05.2015;1
29;01.02.2016;30;30312,00 USD;;1;278930;2;Male;C13;Master;20.05.2015;1
29;01.03.2016;30;30312,00 USD;;1;650990;2;Male;C13;Master;20.05.2015;1
29;01.04.2016;30;30312,00 USD;;1;111410;1;Male;C13;Master;20.05.2015;1
29;01.05.2016;30;30312,00 USD;23.05.2016;1;0;1;Male;C13;Master;20.05.2015;1
30;01.10.2016;31;69457,00 USD;;3;0;1;Male;C6;Bachelor;03.10.2016;3
30;01.11.2016;31;69457,00 USD;;3;0;1;Male;C6;Bachelor;03.10.2016;3
30;01.12.2016;31;69457,00 USD;29.11.2016;3;0;1;Male;C6;Bachelor;03.10.2016;3
31;01.07.2017;32;65189,00 USD;;3;0;1;Female;C28;Master;04.07.2017;3
31;01.08.2017;32;65189,00 USD;;3;0;1;Female;C28;Master;04.07.2017;3
31;01.09.2017;32;65189,00 USD;;3;0;1;Female;C28;Master;04.07.2017;3
31;01.10.2017;32;65189,00 USD;;3;0;2;Female;C28;Master;04.07.2017;3
31;01.11.2017;32;65189,00 USD;;3;0;2;Female;C28;Master;04.07.2017;3
31;01.12.2017;32;65189,00 USD;;3;950940;2;Female;C28;Master;04.07.2017;3
34;01.08.2017;28;65813,00 USD;;2;285830;2;Female;C14;Bachelor;31.07.2017;2
34;01.09.2017;28;65813,00 USD;;2;190180;2;Female;C14;Bachelor;31.07.2017;2
34;01.10.2017;28;65813,00 USD;;2;0;1;Female;C14;Bachelor;31.07.2017;2
34;01.11.2017;28;65813,00 USD;14.11.2017;2;0;1;Female;C14;Bachelor;31.07.2017;2
35;01.03.2017;32;68070,00 USD;;3;300000;1;Male;C5;Bachelor;07.03.2017;3
35;01.04.2017;32;68070,00 USD;;3;0;1;Male;C5;Bachelor;07.03.2017;3
35;01.05.2017;32;68070,00 USD;05.05.2017;3;0;1;Male;C5;Bachelor;07.03.2017;3
36;01.07.2016;40;32865,00 USD;;2;0;2;Female;C18;Bachelor;01.07.2016;2
36;01.08.2016;40;32865,00 USD;;2;0;2;Female;C18;Bachelor;01.07.2016;2
36;01.09.2016;40;32865,00 USD;;2;722390;2;Female;C18;Bachelor;01.07.2016;2
36;01.10.2016;40;32865,00 USD;;2;821020;2;Female;C18;Bachelor;01.07.2016;2
36;01.11.2016;40;32865,00 USD;;2;-19350;2;Female;C18;Bachelor;01.07.2016;2
36;01.12.2016;40;32865,00 USD;;2;145400;2;Female;C18;Bachelor;01.07.2016;2
36;01.01.2017;40;32865,00 USD;;2;0;1;Female;C18;Bachelor;01.07.2016;2
36;01.02.2017;40;32865,00 USD;;2;400000;1;Female;C18;Bachelor;01.07.2016;2
36;01.03.2017;40;32865,00 USD;;2;-50000;1;Female;C18;Bachelor;01.07.2016;2
36;01.04.2017;40;32865,00 USD;;2;1460000;3;Female;C18;Bachelor;01.07.2016;2
36;01.05.2017;40;32865,00 USD;;2;0;3;Female;C18;Bachelor;01.07.2016;2
36;01.06.2017;41;32865,00 USD;;2;139080;3;Female;C18;Bachelor;01.07.2016;2
36;01.07.2017;41;32865,00 USD;;2;984330;2;Female;C18;Bachelor;01.07.2016;2
36;01.08.2017;41;32865,00 USD;29.07.2017;2;-325140;2;Female;C18;Bachelor;01.07.2016;2
37;01.05.2017;33;57375,00 USD;;2;0;1;Female;C14;Bachelor;16.05.2017;2
37;01.06.2017;33;57375,00 USD;;2;300000;1;Female;C14;Bachelor;16.05.2017;2
37;01.07.2017;33;57375,00 USD;;2;350020;1;Female;C14;Bachelor;16.05.2017;2
37;01.08.2017;33;57375,00 USD;;2;0;1;Female;C14;Bachelor;16.05.2017;2
37;01.09.2017;33;57375,00 USD;;2;0;1;Female;C14;Bachelor;16.05.2017;2
37;01.10.2017;33;57375,00 USD;16.10.2017;2;0;1;Female;C14;Bachelor;16.05.2017;2
38;01.12.2016;22;13427,00 USD;;1;0;1;Male;C27;College;06.12.2016;1
38;01.01.2017;22;13427,00 USD;;1;0;1;Male;C27;College;06.12.2016;1
38;01.02.2017;22;13427,00 USD;;1;155610;1;Male;C27;College;06.12.2016;1
38;01.03.2017;22;13427,00 USD;15.03.2017;1;-155610;1;Male;C27;College;06.12.2016;1
39;01.08.2017;32;72888,00 USD;;2;966340;3;Male;C26;Colege;08.08.2017;2
39;01.09.2017;32;72888,00 USD;;2;554010;3;Male;C26;Colege;08.08.2017;2
39;01.10.2017;32;72888,00 USD;;2;600440;2;Male;C26;Colege;08.08.2017;2
39;01.11.2017;32;72888,00 USD;;2;150470;2;Male;C26;Colege;08.08.2017;2
39;01.12.2017;32;72888,00 USD;;2;150970;2;Male;C26;Colege;08.08.2017;2
40;01.11.2016;32;59182,00 USD;;2;0;1;Male;C15;College;08.11.2016;2
40;01.12.2016;32;59182,00 USD;;2;0;1;Male;C15;College;08.11.2016;2
40;01.01.2017;32;59182,00 USD;;2;0;1;Male;C15;College;08.11.2016;2
40;01.02.2017;32;59182,00 USD;14.02.2017;2;0;1;Male;C15;College;08.11.2016;2
41;01.07.2016;33;92372,00 USD;;4;0;1;Male;C29;Master;04.07.2016;4
41;01.08.2016;33;92372,00 USD;;4;0;1;Male;C29;Master;04.07.2016;4
41;01.09.2016;33;92372,00 USD;;4;1061060;1;Male;C29;Master;04.07.2016;4
41;01.10.2016;33;92372,00 USD;;4;1357440;3;Male;C29;Master;04.07.2016;4
41;01.11.2016;33;92372,00 USD;;4;1000000;3;Male;C29;Master;04.07.2016;4
41;01.12.2016;34;92372,00 USD;;4;2240810;3;Male;C29;Master;04.07.2016;4
41;01.01.2017;34;92372,00 USD;;4;1002760;3;Male;C29;Master;04.07.2016;4
41;01.02.2017;34;92372,00 USD;;4;2600330;3;Male;C29;Master;04.07.2016;4
41;01.03.2017;34;92372,00 USD;;4;6718850;3;Male;C29;Master;04.07.2016;4
41;01.04.2017;34;92372,00 USD;;4;0;2;Male;C29;Master;04.07.2016;4
41;01.05.2017;34;92372,00 USD;;4;811400;2;Male;C29;Master;04.07.2016;4
41;01.06.2017;34;92372,00 USD;;4;1071890;2;Male;C29;Master;04.07.2016;4
41;01.07.2017;34;92372,00 USD;;4;1358260;1;Male;C29;Master;04.07.2016;4
41;01.08.2017;34;92372,00 USD;;4;306820;1;Male;C29;Master;04.07.2016;4
41;01.09.2017;34;92372,00 USD;;4;0;1;Male;C29;Master;04.07.2016;4
41;01.10.2017;34;92372,00 USD;;4;775520;2;Male;C29;Master;04.07.2016;4
41;01.11.2017;34;92372,00 USD;;4;180770;2;Male;C29;Master;04.07.2016;4
41;01.12.2017;35;92372,00 USD;;4;1270000;2;Male;C29;Master;04.07.2016;4
42;01.01.2016;44;45988,00 USD;;2;147900;1;Female;C28;Colege;20.10.2015;2
42;01.02.2016;44;45988,00 USD;;2;189020;1;Female;C28;Colege;20.10.2015;2
42;01.03.2016;44;45988,00 USD;;2;657770;1;Female;C28;Colege;20.10.2015;2
42;01.04.2016;44;45988,00 USD;;2;0;1;Female;C28;Colege;20.10.2015;2
42;01.05.2016;44;45988,00 USD;16.05.2016;2;0;1;Female;C28;Colege;20.10.2015;2
43;01.01.2016;27;12906,00 USD;;1;359890;1;Female;C15;Colege;13.07.2015;1
43;01.02.2016;27;12906,00 USD;20.02.2016;1;0;1;Female;C15;Colege;13.07.2015;1
44;01.09.2017;28;62100,00 USD;;1;0;1;Male;C17;Master;25.09.2017;1
44;01.10.2017;28;62100,00 USD;;1;150110;1;Male;C17;Master;25.09.2017;1
44;01.11.2017;28;62100,00 USD;24.11.2017;1;0;1;Male;C17;Master;25.09.2017;1
45;01.06.2017;35;77544,00 USD;;3;0;1;Male;C8;Master;29.05.2017;3
45;01.07.2017;35;77544,00 USD;;3;1262040;3;Male;C8;Master;29.05.2017;3
45;01.08.2017;35;77544,00 USD;;3;1202980;3;Male;C8;Master;29.05.2017;3
45;01.09.2017;35;77544,00 USD;;3;-58440;3;Male;C8;Master;29.05.2017;3
45;01.10.2017;35;77544,00 USD;;3;964680;3;Male;C8;Master;29.05.2017;3
45;01.11.2017;35;77544,00 USD;;3;334320;3;Male;C8;Master;29.05.2017;3
45;01.12.2017;35;77544,00 USD;;3;1521760;3;Male;C8;Master;29.05.2017;3
46;01.01.2016;36;42171,00 USD;;1;231860;1;Female;C25;Master;28.10.2015;1
46;01.02.2016;36;42171,00 USD;;1;106430;1;Female;C25;Master;28.10.2015;1
46;01.03.2016;36;42171,00 USD;27.02.2016;1;0;1;Female;C25;Master;28.10.2015;1
47;01.10.2017;30;28000,00 USD;;1;0;2;Male;C21;Bachelor;09.10.2017;1
47;01.11.2017;30;28000,00 USD;;1;484060;2;Male;C21;Bachelor;09.10.2017;1
47;01.12.2017;30;28000,00 USD;;1;382210;2;Male;C21;Bachelor;09.10.2017;1
49;01.01.2016;21;53039,00 USD;;2;171760;1;Male;C20;Colege;25.05.2015;1
49;01.02.2016;21;53039,00 USD;;2;0;1;Male;C20;Colege;25.05.2015;1
49;01.03.2016;21;53039,00 USD;;2;392890;1;Male;C20;Colege;25.05.2015;1
49;01.04.2016;21;53039,00 USD;;2;106160;1;Male;C20;Colege;25.05.2015;1
49;01.05.2016;21;53039,00 USD;;2;124190;1;Male;C20;Colege;25.05.2015;1
49;01.06.2016;21;53039,00 USD;;2;0;1;Male;C20;Colege;25.05.2015;1
49;01.07.2016;21;53039,00 USD;;2;503500;2;Male;C20;Colege;25.05.2015;1
49;01.08.2016;21;53039,00 USD;;2;300300;2;Male;C20;Colege;25.05.2015;1
49;01.09.2016;21;53039,00 USD;;2;0;2;Male;C20;Colege;25.05.2015;1
49;01.10.2016;21;53039,00 USD;;2;0;1;Male;C20;Colege;25.05.2015;1
49;01.11.2016;21;53039,00 USD;;2;0;1;Male;C20;Colege;25.05.2015;1
49;01.12.2016;21;53039,00 USD;;2;200000;1;Male;C20;Colege;25.05.2015;1
49;01.01.2017;22;53039,00 USD;21.01.2017;2;0;1;Male;C20;Colege;25.05.2015;1
50;01.01.2016;49;89367,00 USD;;3;110310;1;Female;C5;Colege;20.11.2015;3
50;01.02.2016;49;89367,00 USD;20.02.2016;3;0;1;Female;C5;Colege;20.11.2015;3
51;01.01.2016;33;131347,00 USD;;4;0;1;Male;C14;Colege;22.05.2014;4
51;01.02.2016;33;131347,00 USD;;4;0;1;Male;C14;Colege;22.05.2014;4
51;01.03.2016;33;131347,00 USD;;4;0;1;Male;C14;Colege;22.05.2014;4
51;01.06.2016;33;131347,00 USD;;4;0;1;Male;C14;Colege;22.05.2014;4
51;01.07.2016;33;131347,00 USD;;4;200000;2;Male;C14;Colege;22.05.2014;4
51;01.08.2016;33;131347,00 USD;;4;845500;2;Male;C14;Colege;22.05.2014;4
51;01.09.2016;33;131347,00 USD;;4;742500;2;Male;C14;Colege;22.05.2014;4
51;01.10.2016;33;131347,00 USD;;4;250000;2;Male;C14;Colege;22.05.2014;4
51;01.11.2016;34;131347,00 USD;;4;570000;2;Male;C14;Colege;22.05.2014;4
51;01.12.2016;34;131347,00 USD;23.12.2016;4;582010;2;Male;C14;Colege;22.05.2014;4
52;01.07.2017;36;48687,00 USD;;3;0;1;Male;C19;Colege;28.06.2017;3
52;01.08.2017;36;48687,00 USD;;3;0;1;Male;C19;Colege;28.06.2017;3
52;01.09.2017;36;48687,00 USD;;3;493300;1;Male;C19;Colege;28.06.2017;3
52;01.10.2017;37;48687,00 USD;;3;502020;2;Male;C19;Colege;28.06.2017;3
52;01.11.2017;37;48687,00 USD;;3;556710;2;Male;C19;Colege;28.06.2017;3
52;01.12.2017;37;48687,00 USD;;3;300560;2;Male;C19;Colege;28.06.2017;3
54;01.07.2016;33;117993,00 USD;;4;0;2;Male;C29;Bachelor's;11.07.2016;4
54;01.08.2016;33;117993,00 USD;;4;0;2;Male;C29;Bachelor's;11.07.2016;4
54;01.09.2016;33;117993,00 USD;;4;2000000;2;Male;C29;Bachelor's;11.07.2016;4
54;01.10.2016;33;117993,00 USD;;4;0;3;Male;C29;Bachelor's;11.07.2016;4
54;01.11.2016;33;117993,00 USD;;4;1950000;3;Male;C29;Bachelor's;11.07.2016;4
54;01.12.2016;34;117993,00 USD;;4;1455010;3;Male;C29;Bachelor's;11.07.2016;4
54;01.01.2017;34;117993,00 USD;;4;3398000;4;Male;C29;Bachelor's;11.07.2016;4
54;01.02.2017;34;117993,00 USD;;4;6062470;4;Male;C29;Bachelor's;11.07.2016;4
54;01.03.2017;34;117993,00 USD;;4;14620880;4;Male;C29;Bachelor's;11.07.2016;4
